,artist,title
0,박재정,헤어지자 말해요
2,임한별,사랑하지 않아서 그랬어
4,임영웅,모래 알갱이
5,탑현,나에게 그대만이
6,임영웅,우리들의 블루스
8,케이시 (Kassy),사실말야내가말야그게그러니까말이야
9,경서예지,다정히 내 이름을 부르면
10,임영웅,다시 만날 수 있을까
11,우디 (Woody),사막에서 꽃을 피우듯
13,V.O.S,안녕이라고 말하지마
14,우디 (Woody),Say I Love You
15,지아,사랑하지 않아서 그랬니
16,WSG워너비 (가야G),그때 그 순간 그대로 (그그그)
17,경서,어디든 가자 (Feat. 허성현)
19,경서,나의 X에게
20,경서,밤하늘의 별을(2020)
21,DK(디셈버),발걸음
22,아이유,밤편지
23,비투비,그리워하다
24,AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
27,경서예지,나의 모든 날들은 오직 세 가지뿐일 거야 (Feat.몰리디)
28,주호,잘가요
30,포맨 (4MEN),나비무덤
31,정동하,"여자는 말 못하고, 남자는 모르는 것들"
32,서인국,All For You
33,송하예,그대를 알고
34,한동근,새벽에 걸려온 너의 전화는
38,신예영,마지막 사랑
40,송하예,너를 보는게 지친 하루에
41,엠씨더맥스 (M.C the MAX),어디에도
42,노을,늦은 밤 너의 집 앞 골목길에서
44,폴킴,너를 만나
45,성시경,거리에서
46,MSG워너비(M.O.M),바라만 본다
48,EXO,Let Me In
49,비투비,너 없인 안 된다
51,태양,나의 마음에 (Seed)
52,강민경 (다비치),우린 그렇게 사랑해서
53,SG 워너비,Timeless
54,정동하,추억은 만남보다 이별에 남아
56,임한별,이별하러 가는 길
57,윤종신,좋니
58,로이킴,그때 헤어지면 돼
59,케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워
61,HYNN (박혜원),시든 꽃에 물을 주듯
62,이무진,눈이 오잖아(Feat.헤이즈)
65,카더가든,나무
66,송하예,혼자 술 마시지 말고
68,HIGH4 (하이포),봄 사랑 벚꽃 말고
70,신예영,네가 보고 싶은 건 자연스러운 거겠지
71,박효신,야생화
72,에일리(Ailee),저녁 하늘
74,WSG워너비 (가야G),결국엔 너에게 닿아서
76,이홍기 (FT아일랜드),사랑했었다 (Still love you)
77,권진아,끝
78,신예영,우리 왜 헤어져야 해
79,허각,나를 사랑했던 사람아
81,태연 (TAEYEON),사계 (Four Seasons)
82,다비치,너에게 못했던 내 마지막 말은
83,임재현,사랑에 연습이 있었다면 (Prod. 2soo)
84,HYNN (박혜원),Heaven
86,규현 (KYUHYUN),광화문에서 (At Gwanghwamun)
87,다비치,안녕이라고 말하지마
88,황인욱,이 새벽에 전화하는 건
91,MSG워너비(M.O.M),듣고 싶을까
92,한동근,이 소설의 끝을 다시 써보려 해
93,김현성,Heaven
95,어반자카파,널 사랑하지 않아
96,이예준,그날에 나는 맘이 편했을까
97,윤하 (YOUNHA),바람
98,권진아,운이 좋았지
99,아이유,너의 의미 (Feat. 김창완)
100,SG 워너비,라라라
101,태연 (TAEYEON),Rain
102,송하예,니 소식
104,이소라,신청곡 (Feat. SUGA of BTS)
105,아이유,금요일에 만나요 (Feat. 장이정 Of HISTORY)
107,한동근,관계
108,딘딘 (DINDIN),이러면 안 될 거 아는데 너 앞에만 서면 나락 (Feat. 10CM)
109,정효빈,혼자가 아닌 나
110,박효신,Goodbye
111,성시경,내게 오는 길
112,김태우,사랑비
113,허각,Hello
115,지아,술 한잔 해요
116,먼데이 키즈 (Monday Kiz),가을 안부
117,테이,같은 베개...
119,백예린 (Yerin Baek),Antifreeze
121,비투비,아름답고도 아프구나
122,다비치,팡파레
123,한동근,그대라는 사치
126,황인욱,포장마차
127,태연 (TAEYEON),11:11
128,김나영,솔직하게 말해서 나
130,포맨 (4MEN),못해 (Feat. 美)
131,더 자두,대화가 필요해
132,보아 (BoA),Only One
133,정은지,하늘바라기 (Feat. 하림)
134,장덕철,그날처럼
136,케이시 (Kassy),가을밤 떠난 너
139,송하예,처음처럼
141,아이오아이 (I.O.I),소나기
143,백아연,이럴거면 그러지말지 (Feat. Young K)
144,먼데이 키즈 (Monday Kiz),사랑이 식었다고 말해도 돼
145,경서예지,사실 나는 (Feat.전건호)
146,박원,all of my life
147,전상근,사랑이란 멜로는 없어
148,BIGBANG (빅뱅),LAST DANCE
152,하동균,그녀를 사랑해줘요
153,박원,노력
154,이승기,삭제
155,카더가든,가까운 듯 먼 그대여
156,임창정,내가 저지른 사랑
158,SG 워너비,살다가
159,경서,고백연습
160,태연 (TAEYEON),Fine
161,경서예지,그 겨울이 잠든 거리에서
162,성시경,넌 감동이었어
163,임창정,소주 한 잔
164,정승환,눈사람
166,엠씨더맥스 (M.C the MAX),넘쳐흘러
167,V.O.S,다시 만날까 봐
169,싸이 (PSY),낙원 (Feat. 이재훈)
171,김나영,못해
172,이승철,My Love
173,김재환,시작되는 연인들을 위해 (Feat. 별은)
174,테이,사랑은...향기를 남기고
175,엠씨더맥스 (M.C the MAX),흩어지지 않게
176,김범수,끝사랑
177,김연우,여전히 아름다운지
178,박효신,추억은 사랑을 닮아
179,백예린 (Yerin Baek),산책
181,경서,봄이야
182,박효신,숨
183,다비치,거북이
184,먼데이 키즈 (Monday Kiz),이 세상 끝까지
185,V.O.S,미친 것처럼
187,에일리(Ailee),노래가 늘었어
188,이예은,사랑했지만
189,김호중,주마등
190,다비치,두사랑 (Feat. 매드클라운)
191,엠씨더맥스 (M.C the MAX),잠시만 안녕 (Original)
192,첸 (CHEN),사월이 지나면 우리 헤어져요 (Beautiful goodbye)
193,권진아,진심이었던 사람만 바보가 돼
194,윤하 (YOUNHA),오늘 헤어졌어요
195,태연 (TAEYEON),혼자서 걸어요 (Prod. by 나얼)
196,케이윌,Love Blossom (러브블러썸)
197,벤,열애중
198,백지영,잊지 말아요
199,SG 워너비,죄와벌
200,긱스 (Geeks),"Officially Missing You, Too"
201,엠씨더맥스 (M.C the MAX),행복하지 말아요
202,백지영,거짓말이라도 해서 널 보고싶어
203,아이유,비밀의 화원
204,김나영,헤어진 우리가 지켜야 할 것들
205,에이트,심장이 없어
206,바이브,그 남자 그 여자 (Feat. 장혜진)
