가수,제목,발매일,장르,가사
박재정,헤어지자 말해요,2023.04.20,발라드,헤어지자고 말하려 오늘너에게 가다가 우리 추억 생각해 봤어처음 본 네 얼굴마주친 눈동자가까스로 본 너의 그 미소들손을 잡고 늘 걷던 거리에첫눈을 보다가 문득 고백했던 그 순간가보고 싶었던 식당난생처음 준비한 선물고맙다는 너의 그 눈물들이바뀔까 봐 두려워그대 먼저 헤어지자 말해요나는 사실 그대에게 좋은 사람이 아녜요그대 이제 날 떠난다 말해요잠시라도 이 행복을 느껴서 고마웠다고시간이 지나고 나면 나는어쩔 수 없을 걸 문득 너의 사진 보겠지새로 사귄 친구 함께웃음 띤 네 얼굴 보면말할 수 없을 묘한 감정들이힘들단 걸 알지만그대 먼저 헤어지자 말해요나는 사실 그대에게 좋은 사람이 아녜요그대 이제 날 떠난다 말해요잠시라도 이 행복을 느껴서 고마웠다고한 번은 널 볼 수 있을까이기적인 거 나도 잘 알아그땐 그럴 수밖에 없던어린 내게 한 번만 더 기회를 주길그댈 정말 사랑했다 말해요나는 사실 그대에게좋은 사람이 되고 싶었어영영 다신 못 본다 해도그댈 위한 이 노래가당신을 영원히 사랑할 테니
임영웅,사랑은 늘 도망가,2021.10.11,"발라드, 국내드라마",눈물이 난다 이 길을 걸으면그 사람 손길이 자꾸 생각이 난다붙잡지 못하고 가슴만 떨었지내 아름답던 사람아사랑이란 게 참 쓰린 거더라잡으려 할수록 더 멀어지더라이별이란 게 참 쉬운 거더라내 잊지 못할 사람아사랑아 왜 도망가수줍은 아이처럼행여 놓아버릴까 봐꼭 움켜쥐지만그리움이 쫓아 사랑은 늘 도망가잠시 쉬어가면 좋을 텐데바람이 분다 옷깃을 세워도차가운 이별의 눈물이 차올라잊지 못해서 가슴에 사무친내 소중했던 사람아사랑아 왜 도망가수줍은 아이처럼행여 놓아버릴까 봐꼭 움켜쥐지만그리움이 쫓아 사랑은 늘 도망가잠시 쉬어가면 좋을 텐데기다림도 애태움도 다 버려야 하는데무얼 찾아 이 길을 서성일까무얼 찾아 여기 있나사랑아 왜 도망가수줍은 아이처럼행여 놓아버릴까 봐꼭 움켜쥐지만그리움이 쫓아 사랑은 늘 도망가잠시 쉬어가면 좋을 텐데잠시 쉬어가면 좋을 텐데
임한별,사랑하지 않아서 그랬어,2023.04.02,발라드,사랑하지 않기로 했어나만 생각하기로 했어니 눈물을 못 본 척 좀 해야겠어나쁜 사람 되기 싫어서구차해지는 변명들로괜한 기대하게 만들기 싫었어마지막까지 상처 주긴 싫은데난 여전히 너를 배려해 줄자신이 없는걸사랑하지 않았어 미안해참 많이 고마웠어미련 갖는 일 그런 일 없을 거야 정말매번 져주려 했던 너에게기어코 이겨보려 애썼던 순간도너를 필요 없어 했던 밤도사랑하지 않아서 그랬어마지막으로 안아주면 안 될까말하는 니 얼굴떳떳하게 볼 수가 없는걸사랑하지 않았어 미안해참 많이 고마웠어미련 갖는 일 그런 일 없을 거야 정말매번 져주려 했던 너에게기어코 이겨보려 애썼던 순간도너를 필요 없어 했던 밤도사랑하지 않아서 그랬어넌 모르지 내 맘이 어떤지계속 사랑해보려 애를 썼어내가 다 미안해도망치는 내가 밉겠지만나는 후련한 거 같아 여기까지만 해기다리면은 안 돼 잘 들어날 미워해야만 해계속 울어도 난 멀리 떠날 거야 제발니가 괴롭든 말든 꺼놨던 전화도아픈 니가 귀찮았던 밤도하다못해 지금 내 말투도사랑하지 않아서 그랬어
멜로망스,사랑인가 봐,2022.02.18,"발라드, 국내드라마",너와 함께 하고 싶은 일들을상상하는 게요즘 내 일상이 되고너의 즐거워하는 모습을 보고 있으면자연스레 따라 웃고 있는 걸너의 행동에 설레어하고 뒤척이다가지새운 밤이 많아지는데이건 누가 봐도 사랑일 텐데종일 함께면 질릴 텐데나 돌아서도 온통 너인 건아무래도 사랑인가 봐점점 너와 하고 싶은 일들 생각하면서하룰 보낸 날이 많아지는데이건 누가 봐도 사랑일 텐데종일 함께면 질릴 텐데나 돌아서도 온통 너인 건아무래도 사랑인가 봐너의 행복해하는 모습을 보고 있으면나도 모르게 따라 웃는데이 정도면 알아줄 만하잖아너도 용기 낼만 하잖아나만 이런 게 아니라면우리 만나볼 만하잖아아무래도 사랑인가 봐
임영웅,모래 알갱이,2023.06.05,발라드,나는 작은 바람에도 흩어질 나는 가벼운 모래 알갱이 그대 이 모래에 작은 발걸음을 내어요 깊게 패이지 않을 만큼 가볍게 나는 작은 바람에도 흩어질 나는 가벼운 모래 알갱이 그대 이 모래에 작은 발자국을 내어요 깊게 패이지 않을 만큼 가볍게 그대 바람이 불거든 그 바람에 실려 홀연히 따라 걸어가요 그대 파도가 치거든 저 파도에 홀연히 흘러가리 그래요 그대여 내 맘에 언제라도 그런 발자국을 내어줘요 그렇게 편한 숨을 쉬듯이 언제든 내 곁에 쉬어가요 그대 바람이 불거든 그 바람에 실려 홀연히 따라 걸어가요 그대 파도가 치거든 저 파도에 홀연히 흘러가리 그래요 그대여 내 맘에 언제라도 그런 발자국을 내어줘요 그렇게 편한 숨을 쉬듯이 언제든 내 곁에 쉬어가요 언제든 내 맘에 쉬어가요 
탑현,나에게 그대만이,2023.06.11,발라드,더 이상 나에게다른 사랑은 없다는 걸이제 나는 알아요나에게 사랑은항상 하나뿐이었다고나의 사랑은 그대 단 한 사람나에겐 오직 한 사람 세상 누구보다 내게 소중한 사람널 사랑해 널 사랑해이 말 너에게만 하고 싶어네가 없이 난 살 수 없어서사랑 하나로만 살아가는 나에게내 마지막 그날까지 사랑으로남아주길 바라 그대만이오늘이 지나면다시 볼 수 없을 것 같아그대 울지 말아요시간이 지나서우리 하나 되는 그날에나와 함께 할 그대 단 한 사람나에겐 오직 한 사람세상 누구보다 내게 소중한 사람널 사랑해 널 사랑해이 말 너에게만 하고 싶어네가 없이 난 살 수 없어서사랑 하나로만 살아가는 나에게내 마지막 그날까지사랑으로 남아주길 바라 그대만이소중한 너를 위해서내게 남아있는 미련 모두 버려도내 사랑은 내 사랑은아직 너 하나만 원하는데영원히 너를 지켜준다는약속 하나로만 살아가는 나에게내 사랑은 단 한 사람다시 태어나도 그대만을 사랑할게
임영웅,우리들의 블루스,2022.05.02,발라드,잊지는 말아요 함께 했던 날들눈물이 날 때면그대 뒤를 돌아보면 돼요아프지 말아요 쓸쓸한 마음에힘든 일이 참 많았죠 그대에겐내가 곁에 있을게요그댈 위해 노래할게요잊지 말아요그댈 위해 약속할게요언젠가 우리 시간 지나면알게 되겠죠그땐 웃을 수 있죠 나 약속할게요그땐 미소 짓겠죠작은 행복까지 모두외롭고 지칠 때 손잡아 줄게요슬픔이 짙어질 때면 위로해 줄그 한 사람이 될게요그대 부디 울지 말아요슬퍼 말아요그대에게 빛이 될게요언젠가 우리 시간 지나면알게 되겠죠그땐 웃을 수 있죠 나 약속할게요폭풍 속에 혼자 남아 헤매도 오길이 되어 지킬게요 그대그댈 위해 노래할게요잊지 말아요그댈 위해 약속할게요어두운 길을 밝게 비추는그대의 빛이 될게요
임재현,Heaven(2023),2023.04.25,"발라드, 국내드라마",왜 이제 왔나요 더 야윈 그대나만큼 힘들었나요두 번 살게 하네요 그대 내 삶을난 모든 걸 버리려 했죠왜 나를 떠나요 아플 거면서사랑이 여기 있는데다신 그러지 마요 내가 죽어요그댄 나의 숨이니까요나 그댈 잃는다는 건내 삶이 다한 것 살아도 지옥인 거죠그댄 나의 전부 그댄 나의 운명헤어질 수 없어요영원보다 먼 곳에 우리 사랑 가져가요눈물 없는 세상 나의 사랑 하나로만그대 살게 할게요그대와 나 영원히 행복할 그곳Heaven울어도 되나요 그대 앞에서고마워 눈물이 나요기다렸던 날들이 너무나 아파서그대 다시 미워지네요사랑을 버린다는 건 모든 걸 잃는 것상처만 남기잖아요그댄 나의 전부 그댄 나의 운명헤어질 수 없어요영원보다 먼 곳에 우리 사랑 가져가요눈물 없는 세상 나의 사랑 하나로만그대 살게 할게요그대와 나 영원히 행복할 그곳Heaven그댄 나의 전부 그댄 나의 운명헤어질 수 없어요영원보다 먼 곳에 우리 사랑 가져가요눈물 없는 세상 나의 사랑 하나로만그대 살게 할게요그대와 나 영원히 행복할 그곳Heaven
케이시 (Kassy),사실말야내가말야그게그러니까말이야,2023.06.04,발라드,알아 내일이면 나 후회할 걸너무도 잘 알아오늘도 난 술에 취해 네게 전활 걸어사랑한다는 그 한마디 너무도 어려워너도 내 맘 같다면 날 보고 웃어줘날 기다렸다고바람도 살랑이고모든 게 춤을 춰기분 좋게 취하는 밤이야아직 네게 말 못 한비밀이 있는데오늘 아님 못할 거 같아 왠지사실 말야내가 말야그게 그러니까 말이야..내가 너를 좋아해알아 내일이면 나 후회할 걸너무도 잘 알아오늘도 난 술에 취해 네게 전활 걸어사랑한다는 그 한마디 너무도 어려워너도 내 맘 같다면 날 보고 웃어줘날 기다렸다고일도 손에 안 잡혀나 이제 어떡해하루 종일 네 생각만 해 매일사실 말야내가 말야그게 그러니까 말이야..내가 너를 사랑해알아 내일이면 나 후회할 걸너무도 잘 알아오늘도 난 술에 취해 네게 전활 걸어사랑한다는 그 한마디 너무도 어려워너도 내 맘 같다면 날 보고 웃어줘지금 당장 날 좋아해 달란 말 아냐눈물 나게 널 원해도부담되긴 싫어더 이상 내 맘 나 숨기고 싶지가 않아이제 고백할거야널 사랑한다고오늘도 난 술에 취해 네게 전활 걸어
경서예지,다정히 내 이름을 부르면,2021.05.19,발라드,끝없이 별빛이 내리던 밤기분 좋은 바람이두 뺨을 스치고 새벽 바다 한곳을 보는아름다운 너와 나그림을 그려갔어모래 위 떨린 손끝으로날 향해 웃어주는 입술끝 모양과 저 달보다사랑스러운 두 눈을 가진 네가다정히 내 이름을부르면 내 마음이녹아내려 언제나나 하날 위해 준비된선물 같아 널 안으면잠들지 않는 바다 위를너와 함께 걷는 거 같아하늘 아래 너와 나남은 내 모든 날을 너에게다 줘도 안 아까워이제서야 내가사랑에 눈을 뜬 건 가봐경험하지 못했고믿기지 않는 일만일어나고 있는 거 아니5월에 피는 봄꽃 처럼내 사랑도 피어나부는 바람에 살며시 실어 보내다정히 내 이름을부르면 내 마음이녹아내려 언제나나 하날 위해 준비된선물 같아 널 안으면잠들지 않는 바다 위를너와 함께 걷는 거 같아하늘 아래 너와 나설레는 지금이꿈이 아닌 걸 알잖아난 더 바랄 게 없어먼 훗날 내 생애아주 작은 소리로귓가에 말할 거야내 곁에 머물러줘서마음 다해 고맙다고어떤 말로도 표현 못 할내 인생의 전부였다고이 순간 너를 꼭 안고고백할게 언제나우리 모든 날들과별빛 아래 우리 그림자제일로 특별하다고길고 긴 겨울 끝을 지나너의 앞에 서있는 지금선명한 목소리로널 사랑한다고말할게
