artist,title,date,genre,lyrics
24KGoldn,"3, 2, 1",2021.02.19,랩/힙합,Three sides to the storyYours and mineand the goddamn truth girlTwo lies that you told meSay you love me and you hate meI don't know what to do girlOne thing's for sureYou can back that ass up andbaby I want moreBut I need to knowCan you make me a promiseto always be honestFucked upyou put my heart in a headlockUsually it's me that onlywanna make the bed rockStuck up like a robbery with red dotsReally no surpriseyou tellin' lies to make my head hotYou know what they sayWhat they sayEvery dog has his dayevery bitch wanna play with meWoo wooYou should be ashamed Ashamed'Cause I would feel the sameif I did what you did to meThree sides to the storyYours and mineand the goddamn truth girlTwo lies that you told meSay you love me and you hate meI don't know what to do girlOne thing's for sureYou can back that ass up andbaby I want moreBut I need to knowCan you make me a promiseto always be honestStarted with a kiss Kissended with a dub DubBetter if you leave'cause I feel better when you goneDiamonds on my wrist Wristfeelings getting numb NumbThought you knew it all so babywhy you playing dumbYou know what they say They sayEvery dog has his dayevery bitch wanna play with meWoo wooYou should be ashamed Ashamed'Cause I would feel the sameif I did what you did to meThree sides to the storyYours and mineand the goddamn truth girlTwo lies that you told meSay you love me and you hate meI don't know what to do girlOne thing's for sureYou can back that ass up andbaby I want moreBut I need to knowCan you make me a promiseto always be honest
JACKBOYS,GANG GANG,2019.12.27,랩/힙합,What the fuck is we doin' YeahYeahYeah yeah yeahGang back in the stu' Gang gang gang gang gang gang gangUh yeah gang back in the stu' GangYoung nigga win win win win Bitch how can I lose How bitchUh how can I lose How bitch uh how can I lose YeahI ain't with the gang gang gang gang Bitch fifty gon' shoot uh SquadMe and Trav' in a coupe Scoop paparazzi we switch the route YeahYeah see your bitch gettin' loose huhI'm in LA with the views huh Yeah I'm in LA with your boo Yeah it's litWe on the quest with the tribe I bought itIt's way too late pick a side Feng shuiJack make them boys come alive They whatBetter not fuck up the vibe It's TravisRunnin' this shit with a strideYou know my gang the flyestI'm with the gang gang gang gang BOYS hoppin' out of coupes GangI'm switching' lanes tryna maintain duckin' boys in the blue ZooI see you holdin' out on my change I'm needin' all of the loot Ching-chingWhen I'm ridin' off on my side best believe I got the scoop ScoopI could make a hundred right now give it all to the troops TroopsWhole squad got the juice Yeah send a stain like a flute YeahWhole squad goin' up JACKBOYS on the loose Yeah yeah bitchIn the H reppin' Screw ScrewFlamin' Harlem with the goons It's lit yeahWe was wildin' skippin' school Wildin'Now we can go make the Ching chingNow we can go make the millions Trinidad my crewCactus Jack on my shoeAnd this shitI came from the mud straight to the top YeahShooters outside double parkedI'm from New York she like how I talkShe need an ass it's boughtCame to my chambers we went wildDrove the bitch crazy gave 'em all milesI'm with young Jacques know it's goin' downSmokin' that Jack get it by the pound Straight upDon't need the pussy I'm in and I'm out I'm outBut I'm still smokin' that loudHit my hoes when I'm in town YeahThey know who got the Scouts BitchI'm with the gang gang gang gang BOYS hoppin' out of coupes GangI'm switching' lanes tryna maintain duckin' boys in the blue BitchI see you holdin' out on my change I'm needin' all of the loot Ching-chingWhen I'm ridin' off on my side best believe I got the scoop My sideI could make a hundred right now give it all to the troopsWhole squad got the juice send a stain like a flute OohWhole squad goin' up JACKBOYS on the looseYeah I'm from the North where they robbin' and killin' Woo wooYoung nigga rich but I'm still from the trenches WooLuxury Tax my water by GP-I-R-U bitch I bang what I bleedI'm passin' out pills I'ma geek up the VIP YeahOne shot to the head and make sure he don't missI fuck on the bitch have her stalkin' on FifthStill pourin' up Act' they say it don't exist At allFifth got some vibes at the cribLike I wanna fuck right now Keep hundred on hundreds for realBitch I'm goin' up right nowBitch rollin' some weed you know gang in the stu'Bottles on bottles 1942Models on models this shit nothin' newYou might catch some shots takin' shots at the crewI like my hoes by the twoBlew 800K on a coupe Uh-huh racksWe fucked it wasn't nothin' else to do OohYou play with La Flame I'ma shoot RacksThis a hundred round drum I got mob tiesThis a double M truck ain't no broke vibesNow we only take jets for the hard timesKnow I call up them killers they gon' slideBitch I'm with the gangI'm with the gang gang gang gang BOYS hoppin' out of coupes GangI'm switching' lanes tryna maintain duckin' boys in the blue BitchI see you holdin' out on my change I'm needin' all of the loot Ching-chingWhen I'm ridin' off on my side best believe I got the scoop My sideI could make a hundred right now give it all to the troopsWhole squad got the juice Ooh send a stain like a flute OohWhole squad goin' up JACKBOYS on the loose Yeah
Nicki Minaj,Super Bass,2010.11.22,랩/힙합,no lyrics
Kanye West,Gold Digger (Feat. Jamie Foxx),2005.08.30,랩/힙합,no lyrics
Jack Harlow,Tyler Herro,2020.10.22,랩/힙합,YeahThe ones that hate methe most look just like meYou tell me what that meansMake a slick commentand see what that bringsI seen it go downwe can reenact thingsExtreme like BMXingThese boys pussyand they PMSingPeople in the citysee the movement occurringAnd sayMy God I wanna be in that sceneDamn right you wanna bein this sceneShe at the video tryna bein this sceneUsed to fantasize'bout bein' this seen SeenBluegrass girlbut she got big dreamsCan't touch me I got instinctsLocked in the housebut I'm plottin' thingsI brought a gang to the partywith meFive white boysbut they not NSYNCYeah wooFuck what y'all thinkFuck everythingthat you say about meMy dawgs liketo play Madden and 2KBut one thingthey don't do is play about meMy homeboy Tylerhe play in South BeachHe told me this summerhe gon' fix my jumperI told Boi-1dathat we might got a thumperI been tryna popnow I'm on like ShumpertYeah yeah yeahNow they on my bumperGreen room chock-fullof all my comfortsHotel room like heaven on earthGot angels in my bedwith some all-white coversAce Pro Nemo Lucci and QuiisoShloob Clay 2forAnd I got a few moreI call my brothersI got a lot of flowsand they all like butter ooh AhYou know what that meansI came home nicebut I'm goin' back meanI'm 'bout to globe-trotwhen they know a vaccineMothafuckers act lostbut they know exactlywhat's goin' onMade a mil'and I don't knowwhat to blow it onI tell the critics Shut uplike my show is onGave a T-shirt to hersaid Throw it onShe one of many high schoolclassmates I'm growin' onGrowin' on growin' onMy peers ain't poppin'they don't knowwhat's goin' wrongY'all well dressedbut you ain't got souland you just can't sew it onI'm tryna tell y'all boysI got a few songsI could sell y'all boysI tried it back then it wasHell nah boy NahNow I'm in a box like aKellogg's toyLike a like a oohThe ones that hate me the mostlook just like me Like meYou tell me what that meansMake a slick commentand see what that bringsI seen it go downwe can reenact thingsLet's do itExtreme like BMXingThese boys pussyand they PMSing WooPeople in the citysee the movement occurringAnd say My GodI wanna be in that sceneThat's rightDamn right you wanna bein this sceneShe at the video tryna bein this scene SceneUsed to fantasize'bout bein' this seenBluegrass girlbut she got big dreamsCan't touch me I got instinctsLocked in the housebut I'm plottin' thingsI brought a gangto the party with meFive white boysbut they not NSYNCNo they not NSYNC nothey not NSYNCWord to JT no they not NSYNCWord to JT no they not NSYNCNo they not NSYNC no-noNo they not NSYNC oh-ohoh-oh oh-oh oh-oh
Lil Nas X,MONTERO (Call Me By Your Name) (But Lil Nas X Makes All The Sounds With His Mouth),2021.04.23,랩/힙합,Is it recordingI caught it bad yesterdayYou hit me with a callto your placeAin't been out in a while anywayWas hopin' I could catch youthrowin' smiles in my faceRomantic talkin'You don't even have to tryYou're cute enough to fuckwith me tonightLookin' at the tableall I see is weed and whiteBaby you livin' the lifebut nigga you ain't livin' rightCocaine and drinkin'with your friendsYou live in the darkboy I cannot pretendI'm not fazed only here to sinIf Eve ain't in your gardenyou know that you canCall me when you wantcall me when you needCall me in the morningI'll be on the wayCall me when you wantcall me whеn you needCall me out by your nameI'll be on thе way likeMmm mmm mmmMmm mmm mmmAyy ayyI wanna sell what you're buyin'I wanna feel on your ass in HawaiiI want that jet lagfrom fuckin' and flyin'Shoot a child in your mouthwhile I'm ridin'Oh oh oh why meA sign of the timesevery time that I speakA dime and a nineit was mine every weekWhat a time an inclineGod was shinin' on meNow I can't leaveAnd now I'm actin' hella eliteNever want the niggasthat's in my leagueI wanna fuck the onesI envy I envyCocaine and drinkin'with your friendsYou live in the darkboy I cannot pretendI'm not fazed only here to sinIf Eve ain't in your gardenyou know that you canCall me when you wantcall me when you needCall me in the morningI'll be on the wayCall me when you wantcall me when you needCall me out by your nameI'll be on the way likeOh call me by your nameMmm mmm mmmTell me you love me in privateCall me by your nameMmm mmm mmmI do not care if you lyin'
R. City,Locked Away (Feat. Adam Levine),2015.10.09,랩/힙합,If I got locked away And we lost it all today Tell me honestly would you still love me the same If I showed you my flaws If I couldn't be strong Tell me honestly would you still love me the same Right about now If I judge for life man would you stay by my side Or is you gonna say goodbye Can you tell me right now If I couldn't buy you the fancy things in life Shawty would it be alright Come on show me that you down Now tell me would you really ride for me Baby tell me would you die for me Would you spend your whole life with me Would you be there to always hold me down Tell me would you really cry for me Baby don't lie to me If I didn't have anything I wanna know would you stick around If I got locked away And we lost it all today Tell me honestly would you still love me the same If I showed you my flaws If I couldn't be strong Tell me honestly would you still love me the same Let's get it down All I wanna is somebody who really don't need much A girl that I know I can trust To be there when money low If I did not have nothing else to give but love Would that even be enough Gal me need to know Now tell me would you really ride for me Baby tell me would you die for me Would you spend your whole life with me Would you be there to always hold me down Tell me would you really cry for me Baby don't lie to me If I didn't have anything I wanna know would you stick around If I got locked away And we lost it all today Tell me honestly would you still love me the same If I showed you my flaws If I couldn't be strong Tell me honestly would you still love me the same Tell me tell me would you want me Tell me tell me would you call me If you knew I wasn't balling Cause I need girl ho's always by my side Tell me tell me do you need me Tell me tell me do you love me Or is it just tryna play me Cause I need a girl to hold me down for life If I got locked away And we lost it all today Tell me honestly would you still love me the same If I showed you my flaws If I couldn't be strong Tell me honestly would you still love me the same If I got locked away And we lost it all today Tell me honestly would you still love me the same If I showed you my flaws If I couldn't be strong Tell me honestly would you still love me the same would you still love me the same
Tyga,Bored In The House,2020.03.28,랩/힙합,Okay I'm bored in the houseand I’m in the house boredBoredBored in the houseand I'm in the house bored BoredBored in the muhfuckin'in the house boredAnd I’m bored in the muhfuckin'in the house bored haaBored in the house boredin the house bored BoredBored in the house boredin the house bored BoredI'm bored in the muhfuckin'in the house boredAnd I'm bored in the muhfuckin'in the house bored AyyAyy I'm bored bored boredbored bored bored bored boredI'm bored bored bored boredbored bored bored bored AyyAyy I need me a thick chicksSittin on a couchand I’m going through my NetflixBored in the motherfuckerI ain’t doin' shitTell her pull up make itshake like NesquikNeck frozenwe’re nowhere to go bitchPop in COD on a PS4Tell the bitch chilllike refrigerator doorsWe can heat up some ramenCan't go to the store hahaCan't eνen go on tour niggaso boredI am losing my mind MindAll these girls tell 'em oneat a time TimeNigga still hatin’ tell 'emcatch me outside SideI'm Fernito FernitoAt home like Depot depot AyyShe gonna suck itlike mosquito 'squitoI'm a lion she a Leo LeoAyy married to the moneydressed in tuxedos YeahI could show you minelike I'm Magnito PeangGot my Vans onand they look like sneakers YeahExplore like Doraon the hunt like EasterOkay I'm bored in the houseand I'm in the house bored BoredBored in the houseand I'm in the house bored BoredBored in the muhfuckin'in the house boredAnd I'm bored in the muhfuckin'in the house bored haaBored in the housebored in the house bored BoredBored in the housebored in the house bored BoredI'm bored in the muhfuckin'in the house boredAnd I'm bored in the muhfuckin'in the house bored AyyAyy I'm bored bored boredbored bored bored bored boredI'm bored bored bored boredbored bored bored bored AyyAyy I'm in the criblike an infantWith some bad dude playin'Brenna incenseBottle tonic gin mixed inSnoop house shoes gettingDown in the kitchen ayI'ma socialize at a distanceI'm living my best lifeminding my businessAnd my anti-socialsfor the win-winLocked downI'm gonna stay stayin' in inRamen noodles every nightfor my din dinHulu binge watchin' episodesof Ben-10And I've got T-Raww for assistanceBad boy I'ma have to balllike a PistonIn quarantineI'm the quarterbackQuarterbackMVP I'm scoring thatScoring thatAin't a fool hereshout out DoorDashShout out DoorDashWhere the napkinsI need more of thatAyy can't findthe remote outta controlOutta my mind outta my handsOutta my soul honor the cokeGot my locks bli-blinded in goldI'm in a houseand I'm so damn boredAyy ayyI'm in a house like CoryWhere you could find melike Dory DoryKe-Keepin' me on her story StorySon and I'm all like a MauryMy competition is boringI'm bored in the houseand I'm boredOkay I'm bored in the house andI'm in the house bored BoredBored in the houseand I'm in the house bored BoredBored in the muhfuckin'in the house boredAnd I'm bored in the muhfuckin'in the house bored haaBored in the housebored in the house bored BoredBored in the housebored in the house bored BoredI'm bored in the muhfuckin'in the house boredAnd I'm bored in the muhfuckin'in the house bored AyyAyy I'm bored bored boredbored bored bored bored boredI'm bored bored bored boredbored bored bored bored Ayy
Tyga,FREAK,2020.03.13,랩/힙합,no lyrics
Trippie Redd,Miss The Rage,2021.05.07,랩/힙합,I love Trippie ReddHahahahaI can't see a damn thingif it ain't guapOh my woahI can't see a damn thingif it ain't guapOh my God guap yeahThey like Stevie Steviethey can't see me See meThey wanna be meThey wanna be meI'm in that 'GhiniIn the Lamb' truckWhip like zucchiniwater Fiji YeahIt ain't leave me Yeahshe wanna please me Yeah'Cause she needy Yeahhoe like Mimi YeahBitch like Mya Mya yeahhoe like Mimi YeahBae like Mya Yeahhoe like Mimi YeahBitch like Mya Yeahhoe like Mimi YeahBae like MyaGTA we shoot outhelicopters Brrt monsters BrrtWe pull up with sticksand hella choppers Bah'oppas BahWe don't fuck with niggasthey the cops Cops bitchI put my heart and soulinto the Glock In the GlockBitch it's us never themyou ain't that bitch I'm himYou get zappedif it's static Statickeep that MACit go PewSmokin' gas smell the fumesI'm in that 'Vette it go VroomI'm a vet lil' dude you a petdo what I say not what I doTell him Sit bitch come hereI just seen some niggas downthe block that ain't from hereKnow I got a lotbut I need some damnmore yeahIf I catch the oppsthen I'm uppin'the damn score yeahYeah brrah brrah brrah brrahI can't see a damn thingif it ain't guapOh my woahI can't see a damn thingif it ain't guapOh my God guap yeahThey like Stevie Steviethey can't see meThey can't see meThey wanna be meThey wanna be meI'm in that 'GhiniIn the Lamb' truckWhip like zucchiniwater Fiji YeahIt ain't leave me Yeahshe wanna please me Yeah'Cause she needy Yeahhoe like Mimi YeahBitch like Mya hoe like MimiBae like Mya She like Cartihoe like MimiBitch like Mya She like Cartiyeah yeah yeah hoe like MimiBae like Mya She like Cartihaha no bap hahahaShe like Carti Yeahman I need it Yeah yeahShe taste like waterTaste like waterhoe I need itTaste like waterCome get your daughterCome get your daughtershe too greasy BitchShe so meaty She so meatyI'm not veganI'm not vegan veganI'm gon' eat it What YeahI bet you I'll beat itI bet you I'll beat itI put on the bustPut on the bustI got the cig'I got the cig' bustI put her on the busPut her on the busI'ma leave that hoe bleedin'Yeah busI'ma leave that hoe geekin'Blatt bleedin'have her goneby the weekend Blatt yeahGot too much waterBlatt blattshit got me leakin'Blatt whatShe got me leakin' Blatt blattI'm on the deep endBlatt what Yeah blatt whatI'm on the deep endYeah yeah yeah hahaBrrah Haha brrah brrahbrrah YeahHahahahaha ah Yeah King VampI can't see a damn thingif it ain't guap Oh myI can't see a damn thingif it ain't guapOh my God guapyeah Oh my GodThey like Stevie Steviethey can't see meThey can't see meThey wanna be meThey wanna be meI'm in that 'GhiniIn the Lamb' truckWhip like zucchiniwater Fiji YeahIt ain't leave me Yeahshe wanna please me Yeah'Cause she needy Yeahhoe like Mimi Haha yeahBitch like Mya Yeahhoe like Mimi YeahBae like Mya Yeahhoe like Mimi YeahBitch like Mya Yeahhoe like Mimi YeahBae like Mya
