,artist,title
658,방탄소년단,봄날
659,BLACKPINK,Shut Down
660,j-hope,on the street (with J. Cole)
661,BLACKPINK,Pink Venom
662,Stray Kids (스트레이 키즈),특
663,SHINee (샤이니),HARD
664,BE'O (비오),LOVE me
665,San E (산이),한여름밤의 꿀
666,BE'O (비오),자격지심 (Feat. ZICO)
667,세븐틴 (SEVENTEEN),HOT
669,세븐틴 (SEVENTEEN),F*ck My Life
670,창모 (CHANGMO),METEOR
671,긱스 (Geeks),Officially Missing You
672,우원재,시차 (We Are) (Feat. 로꼬 & GRAY)
673,에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래 (Feat. Colde)
674,다이나믹 듀오,AEAO
675,(여자)아이들,MY BAG
676,프리스타일,Y (Please Tell Me Why)
677,다이나믹 듀오,죽일 놈 (Guilty)
678,싸이 (PSY),예술이야
679,BLACKPINK,뚜두뚜두 (DDU-DU DDU-DU)
680,우디 (Woody),이 노래가 클럽에서 나온다면
681,프라이머리,자니 (Feat. Dynamic Duo)
682,RM,들꽃놀이 (with 조유진)
683,G-DRAGON,삐딱하게 (Crooked)
685,리쌍,"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)"
686,헤이즈 (Heize),"And July (Feat. DEAN, DJ Friz)"
687,MC몽,죽을 만큼 아파서 (Feat. 멜로우)
688,지코 (ZICO),아무노래
689,BE'O (비오),Counting Stars (Feat. Beenzino)
690,iKON,사랑을 했다 (LOVE SCENARIO)
691,DPR LIVE,Jasmine
692,지코 (ZICO),Boys And Girls (Feat. Babylon)
693,헤이즈 (Heize),널 너무 모르고
694,리쌍,Ballerino
695,pH-1,Nerdy Love (Feat. 백예린)
696,지코 (ZICO),Summer Hate (Feat. 비)
697,방탄소년단,Yet To Come
698,우디 (Woody),대충 입고 나와
699,BIGBANG (빅뱅),뱅뱅뱅 (BANG BANG BANG)
700,BLACKPINK,Kill This Love
701,Stray Kids (스트레이 키즈),CASE 143
702,MC몽,I Love U Oh Thank U (Feat. 김태우 Of God)
703,쿠기 (Coogie),Alone (Feat. 이하이)
705,San E (산이),아는사람 얘기
706,Agust D,해금
707,방탄소년단,DNA
708,ASH ISLAND,Paranoid
709,지민,Set Me Free Pt.2
710,Supreme Team,그땐 그땐 그땐
711,박재범,몸매 (MOMMAE) (Feat. Ugly Duck)
712,NCT DREAM,오르골 (Life Is Still Going On)
713,제시 (Jessi),ZOOM
714,코드 쿤스트 (CODE KUNST),"Jumper (Feat. 개코, MINO)"
715,제니 (JENNIE),SOLO
716,BIG Naughty (서동현),Joker (Feat. JAMIE)
717,다이나믹 듀오,고백(Go Back) (Feat.정인)
718,BLACKPINK,붐바야
719,듀스,여름안에서
720,방탄소년단,IDOL
721,한요한,400km (Feat. Kid Milli)
722,싸이 (PSY),강남스타일
723,G-DRAGON,니가 뭔데 (Who You?)
724,DPR LIVE,Martini Blue
725,리쌍,눈물 (Feat. 유진 Of 더 씨야)
726,에픽하이 (EPIK HIGH),Love Love Love (Feat. Yoong Jin Of Casker)
727,BLACKPINK,휘파람
728,방탄소년단,Life Goes On
729,우원재,잠수이별 (Prod. 코드 쿤스트)
730,BIGBANG (빅뱅),에라 모르겠다
731,방탄소년단,FAKE LOVE
732,NCT DREAM,맛 (Hot Sauce)
733,박경,보통연애 (Feat. 박보람)
