music_title,artist,youtube_title,link
헤어지자 말해요,박재정,박재정(Parc Jae Jung) _ 헤어지자 말해요(Let's Say Goodbye),https://youtube.com/watch?v=yFlxYHjHYAw&pp=ygUs7Zek7Ja07KeA7J6QIOunkO2VtOyalCDrsJXsnqzsoJUgb2ZmaWNpYWwgTVY%3D
사랑은 늘 도망가,임영웅,[M/V] 임영웅 - 사랑은 늘 도망가 :: 신사와 아가씨(Young Lady and Gentleman) OST Part.2,https://youtube.com/watch?v=LKQ-18LoFQk&pp=ygUt7IKs656R7J2AIOuKmCDrj4Trp53qsIAg7J6E7JiB7JuFIG9mZmljaWFsIE1W
사랑하지 않아서 그랬어,임한별,[MV] Onestar(임한별) _ Because I Don't Love You(사랑하지 않아서 그랬어),https://youtube.com/watch?v=ve7vLxUVFpE&pp=ygU27IKs656R7ZWY7KeAIOyViuyVhOyEnCDqt7jrnqzslrQg7J6E7ZWc67OEIG9mZmljaWFsIE1W
사랑인가 봐,멜로망스,"[MV] MeloMance(멜로망스) _ Love, Maybe(사랑인가 봐) (사내맞선 OST 스페셜 트랙(A Business Proposal OST Special Track))",https://youtube.com/watch?v=UoBsiQW23IY&pp=ygUp7IKs656R7J246rCAIOu0kCDrqZzroZzrp53siqQgb2ZmaWNpYWwgTVY%3D
모래 알갱이,임영웅,임영웅 - 모래 알갱이 M/V,https://youtube.com/watch?v=xuexbvO29Gk&pp=ygUm66qo656YIOyVjOqwseydtCDsnoTsmIHsm4Ugb2ZmaWNpYWwgTVY%3D
나에게 그대만이,탑현,탑현 - 나에게 그대만이 MV,https://youtube.com/watch?v=-YPoQgsZcmI&pp=ygUp64KY7JeQ6rKMIOq3uOuMgOunjOydtCDtg5HtmIQgb2ZmaWNpYWwgTVY%3D
우리들의 블루스,임영웅,[MV] 임영웅(Lim Young-Woong) - 우리들의 블루스(Our Blues Our Life) | 우리들의 블루스(Our Blues) OST,https://youtube.com/watch?v=horFR5HoxZ0&pp=ygUs7Jqw66as65Ok7J2YIOu4lOujqOyKpCDsnoTsmIHsm4Ugb2ZmaWNpYWwgTVY%3D
Heaven(2023),임재현,[MV] Lim Jae Hyun(임재현) - Heaven(2023),https://youtube.com/watch?v=pXhz55HGj9Y&pp=ygUiSGVhdmVuKDIwMjMpIOyehOyerO2YhCBvZmZpY2lhbCBNVg%3D%3D
사실말야내가말야그게그러니까말이야,케이시 (Kassy),[MV] 케이시(Kassy)_'사실말야내가말야그게그러니까말이야' (Crush on you),https://youtube.com/watch?v=C_SHJe_v45U&pp=ygVR7IKs7Iuk66eQ7JW864K06rCA66eQ7JW86re46rKM6re465-s64uI6rmM66eQ7J207JW8IOy8gOydtOyLnCAoS2Fzc3kpIG9mZmljaWFsIE1W
다정히 내 이름을 부르면,경서예지,"[MV] GyeongseoYeji, Jeon Gunho(경서예지) _ If you lovingly call my name(다정히 내 이름을 부르면)",https://youtube.com/watch?v=YPvrhziJAno&pp=ygU664uk7KCV7Z6IIOuCtCDsnbTrpoTsnYQg67aA66W066m0IOqyveyEnOyYiOyngCBvZmZpY2lhbCBNVg%3D%3D
다시 만날 수 있을까,임영웅,임영웅 - 다시 만날 수 있을까 MV,https://youtube.com/watch?v=sHqFqWDviBg&pp=ygUx64uk7IucIOunjOuCoCDsiJgg7J6I7J2E6rmMIOyehOyYgeybhSBvZmZpY2lhbCBNVg%3D%3D
사막에서 꽃을 피우듯,우디 (Woody),[MAJOR9/우디] 우디(Woody) ‘사막에서 꽃을 피우듯 (Flower in the Desert)’ OFFICIAL MV,https://youtube.com/watch?v=tKwEOu3vJZw&pp=ygU47IKs66eJ7JeQ7IScIOq9g-ydhCDtlLzsmrDrk68g7Jqw65SUIChXb29keSkgb2ZmaWNpYWwgTVY%3D
찬란한 하루,멜로망스,[MV] MeloMance(멜로망스) _ A Shining Day(찬란한 하루),https://youtube.com/watch?v=p_dbjlEe83Y&pp=ygUp7LCs656A7ZWcIO2VmOujqCDrqZzroZzrp53siqQgb2ZmaWNpYWwgTVY%3D
안녕이라고 말하지마,V.O.S,[MV] V.O.S _ Don't say Goodbye(안녕이라고 말하지마),https://youtube.com/watch?v=Yw3-w2Q2e9g&pp=ygUu7JWI64WV7J2065286rOgIOunkO2VmOyngOuniCBWLk8uUyBvZmZpY2lhbCBNVg%3D%3D
Say I Love You,우디 (Woody),우디 Woody - Say I Love You Official M/V,https://youtube.com/watch?v=2jr2TZfqU1E&pp=ygUpU2F5IEkgTG92ZSBZb3Ug7Jqw65SUIChXb29keSkgb2ZmaWNpYWwgTVY%3D
사랑하지 않아서 그랬니,지아,[MV] Zia(지아) _ Because You Don't Love Me(사랑하지 않아서 그랬니),https://youtube.com/watch?v=JIFBmAILXVE&pp=ygUz7IKs656R7ZWY7KeAIOyViuyVhOyEnCDqt7jrnqzri4gg7KeA7JWEIG9mZmljaWFsIE1W
그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG WANNABE (Gaya-G) - At That Moment (그때 그 순간 그대로) | Show! MusicCore | MBC220716방송,https://youtube.com/watch?v=kZvzjX35KxY&pp=ygVK6re465WMIOq3uCDsiJzqsIQg6re464yA66GcICjqt7jqt7jqt7gpIFdTR-ybjOuEiOu5hCAo6rCA7JW8Rykgb2ZmaWNpYWwgTVY%3D
어디든 가자 (Feat. 허성현),경서,[MV] KyoungSeo(경서) _ ANYWHERE(어디든 가자) (Feat. Huh(허성현)),https://youtube.com/watch?v=iEjiB3pdhLU&pp=ygU17Ja065SU65OgIOqwgOyekCAoRmVhdC4g7ZeI7ISx7ZiEKSDqsr3shJwgb2ZmaWNpYWwgTVY%3D
그중에 그대를 만나,김호중,[MV] Kim ho joong(김호중) _ meet you among them(그중에 그대를 만나) (삼남매가 용감하게 OST Part.1),https://youtube.com/watch?v=_7Gd_ur2ss8&pp=ygUw6re47KSR7JeQIOq3uOuMgOulvCDrp4zrgpgg6rmA7Zi47KSRIG9mZmljaWFsIE1W
나의 X에게,경서,[MV] KyoungSeo(경서) _ Dear my X(나의 X에게),https://youtube.com/watch?v=S1JB_T6Fths&pp=ygUh64KY7J2YIFjsl5Dqsowg6rK97IScIG9mZmljaWFsIE1W
밤하늘의 별을(2020),경서,[MV] KyoungSeo(경서) _ Shiny Star(밤하늘의 별을)(2020),https://youtube.com/watch?v=NuTNPV72rFo&pp=ygUs67Ck7ZWY64qY7J2YIOuzhOydhCgyMDIwKSDqsr3shJwgb2ZmaWNpYWwgTVY%3D
발걸음,DK(디셈버),[MV] DK(디셈버) _ Step(발걸음),https://youtube.com/watch?v=1Zv_iZmpz64&pp=ygUj67Cc6rG47J2MIERLKOuUlOyFiOuyhCkgb2ZmaWNpYWwgTVY%3D
밤편지,아이유,[MV] IU(아이유) _ Through the Night(밤편지),https://youtube.com/watch?v=BzYnNdJhZQw&pp=ygUf67Ck7Y647KeAIOyVhOydtOycoCBvZmZpY2lhbCBNVg%3D%3D
그리워하다,비투비,BTOB(비투비) - '그리워하다' Official Music Video,https://youtube.com/watch?v=wDkjWSt3HOM&pp=ygUl6re466as7JuM7ZWY64ukIOu5hO2IrOu5hCBvZmZpY2lhbCBNVg%3D%3D
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),"AKMU - '어떻게 이별까지 사랑하겠어, 널 사랑하는 거지(How can I love the heartbreak, you`re the one I love)' M/V",https://youtube.com/watch?v=m3DZsBw5bnE&pp=ygVZ7Ja065a76rKMIOydtOuzhOq5jOyngCDsgqzrnpHtlZjqsqDslrQsIOuEkCDsgqzrnpHtlZjripQg6rGw7KeAIEFLTVUgKOyVheuupCkgb2ZmaWNpYWwgTVY%3D
어른,Sondia,[나의 아저씨 OST] Sondia - 어른 (Grown Ups) MV,https://youtube.com/watch?v=5a-tqIQc8RM&pp=ygUZ7Ja066W4IFNvbmRpYSBvZmZpY2lhbCBNVg%3D%3D
내 손을 잡아,아이유,IU(아이유) _ Hold My Hand(내 손을 잡아) _ MV,https://youtube.com/watch?v=BYQBs_4-MOo&pp=ygUn64K0IOyGkOydhCDsnqHslYQg7JWE7J207JygIG9mZmljaWFsIE1W
나의 모든 날들은 오직 세 가지뿐일 거야 (Feat.몰리디),경서예지,[MV] GyeongseoYeji(경서예지) _ All my days will be three days(나의 모든 날들은 오직 세 가지뿐일 거야),https://youtube.com/watch?v=doOZw4fkpxI&pp=ygVg64KY7J2YIOuqqOuToCDrgqDrk6TsnYAg7Jik7KeBIOyEuCDqsIDsp4Drv5Dsnbwg6rGw7JW8IChGZWF0LuuqsOumrOuUlCkg6rK97ISc7JiI7KeAIG9mZmljaWFsIE1W
잘가요,주호,주호 - 잘가요 [Music Video],https://youtube.com/watch?v=yfeaSjN1kSo&pp=ygUc7J6Y6rCA7JqUIOyjvO2YuCBvZmZpY2lhbCBNVg%3D%3D
선물,멜로망스,[MV] MeloMance(멜로망스) _ Gift(선물),https://youtube.com/watch?v=qYYJqWsBb1U&pp=ygUf7ISg66y8IOupnOuhnOunneyKpCBvZmZpY2lhbCBNVg%3D%3D
나비무덤,포맨 (4MEN),[MV] 4MEN(포맨) _ Butterfly Grave(나비무덤),https://youtube.com/watch?v=-embUeUPc7o&pp=ygUm64KY67mE66y0642kIO2PrOunqCAoNE1FTikgb2ZmaWNpYWwgTVY%3D
